Date,Equipment_ID,Equipment_Type,Department,Available_Hours,Actual_Operating_Hours,Utilization_Rate,Number_of_Procedures,Cost_per_procedure,Daily_Operating_Cost,Procedure_Revenue,Day_of_Week,Month,Is_Weekend,Net-Profit (daily),,,,
6/4/2023,MRI_2382,MRI Scanner,Radiology,9,1.6,0.18,4,30000,5000,"KES 120,000",Sunday,June,TRUE,"KES 115,000",,,,
4/22/2023,MAMMO_2383,Mammography Unit,Women's Health,9,3.2,0.36,27,5000,1000,"KES 135,000",Saturday,April,TRUE,"KES 134,000",,,,
10/8/2023,MAMMO_2384,Mammography Unit,Women's Health,19,18.4,0.97,21,5000,1000,"KES 105,000",Sunday,October,TRUE,"KES 104,000",,,,
5/4/2023,MRI_2385,MRI Scanner,Radiology,9,2.3,0.26,4,30000,5000,"KES 120,000",Thursday,May,FALSE,"KES 115,000",,,,
6/17/2023,CT_2386,CT Scanner,Radiology,14,3.3,0.24,11,10000,3000,"KES 110,000",Saturday,June,TRUE,"KES 107,000",,,,
9/29/2023,XRAY_2387,X-Ray Machine,Radiology,17,8.7,0.51,15,2000,1500,"KES 30,000",Friday,September,FALSE,"KES 28,500",,,,
11/3/2023,MRI_2388,MRI Scanner,Radiology,16,2.2,0.14,1,30000,5000,"KES 30,000",Friday,November,FALSE,"KES 25,000",,,,
7/7/2023,MAMMO_2389,Mammography Unit,Women's Health,8,4.4,0.55,7,5000,1000,"KES 35,000",Friday,July,FALSE,"KES 34,000",,,,
2/12/2023,US_2390,Ultrasound,Radiology,8,6.4,0.8,37,3000,1000,"KES 111,000",Sunday,February,TRUE,"KES 110,000",,,,
5/27/2023,MRI_2391,MRI Scanner,Radiology,8,3.4,0.42,3,30000,5000,"KES 90,000",Saturday,May,TRUE,"KES 85,000",,,,
12/14/2023,US_2392,Ultrasound,Radiology,12,10.8,0.9,36,3000,1000,"KES 108,000",Thursday,December,FALSE,"KES 107,000",,,,
1/14/2023,MAMMO_2393,Mammography Unit,Women's Health,12,10.5,0.88,21,5000,1000,"KES 105,000",Saturday,January,TRUE,"KES 104,000",,,,
6/24/2023,MAMMO_2394,Mammography Unit,Women's Health,14,8.3,0.59,11,5000,1000,"KES 55,000",Saturday,June,TRUE,"KES 54,000",,,,
8/30/2023,MRI_2395,MRI Scanner,Radiology,10,0.9,0.09,4,30000,5000,"KES 120,000",Wednesday,August,FALSE,"KES 115,000",,,,
6/1/2023,MAMMO_2396,Mammography Unit,Women's Health,15,12.4,0.83,21,5000,1000,"KES 105,000",Thursday,June,FALSE,"KES 104,000",,,,
10/26/2023,XRAY_2397,X-Ray Machine,Radiology,9,7.5,0.83,12,2000,1500,"KES 24,000",Thursday,October,FALSE,"KES 22,500",,,,
11/20/2023,CT_2398,CT Scanner,Radiology,17,3.2,0.19,23,10000,3000,"KES 230,000",Monday,November,FALSE,"KES 227,000",,,,
2/26/2023,MRI_2399,MRI Scanner,Radiology,13,0.5,0.04,3,30000,5000,"KES 90,000",Sunday,February,TRUE,"KES 85,000",,,,
4/30/2023,MRI_2400,MRI Scanner,Radiology,9,2.2,0.24,2,30000,5000,"KES 60,000",Sunday,April,TRUE,"KES 55,000",,,,
3/12/2023,MAMMO_2401,Mammography Unit,Women's Health,13,11.2,0.86,27,5000,1000,"KES 135,000",Sunday,March,TRUE,"KES 134,000",,,,
3/19/2023,MAMMO_2402,Mammography Unit,Women's Health,14,3.8,0.27,29,5000,1000,"KES 145,000",Sunday,March,TRUE,"KES 144,000",,,,
4/7/2023,XRAY_2403,X-Ray Machine,Radiology,12,6.9,0.58,18,2000,1500,"KES 36,000",Friday,April,FALSE,"KES 34,500",,,,
1/13/2023,US_2404,Ultrasound,Radiology,12,9.4,0.78,22,3000,1000,"KES 66,000",Friday,January,FALSE,"KES 65,000",,,,
9/1/2023,MAMMO_2405,Mammography Unit,Women's Health,17,5.1,0.3,22,5000,1000,"KES 110,000",Friday,September,FALSE,"KES 109,000",,,,
4/11/2023,XRAY_2406,X-Ray Machine,Radiology,18,3.4,0.19,6,2000,1500,"KES 12,000",Tuesday,April,FALSE,"KES 10,500",,,,
3/27/2023,MAMMO_2407,Mammography Unit,Women's Health,16,15.1,0.94,18,5000,1000,"KES 90,000",Monday,March,FALSE,"KES 89,000",,,,
6/18/2023,XRAY_2408,X-Ray Machine,Radiology,16,13.5,0.84,23,2000,1500,"KES 46,000",Sunday,June,TRUE,"KES 44,500",,,,
1/25/2023,MAMMO_2409,Mammography Unit,Women's Health,15,5.3,0.35,7,5000,1000,"KES 35,000",Wednesday,January,FALSE,"KES 34,000",,,,
3/30/2023,XRAY_2410,X-Ray Machine,Radiology,10,7.8,0.78,27,2000,1500,"KES 54,000",Thursday,March,FALSE,"KES 52,500",,,,
2/19/2023,MAMMO_2411,Mammography Unit,Women's Health,15,14,0.93,12,5000,1000,"KES 60,000",Sunday,February,TRUE,"KES 59,000",,,,
4/17/2023,CT_2412,CT Scanner,Radiology,19,4.1,0.22,15,10000,3000,"KES 150,000",Monday,April,FALSE,"KES 147,000",,,,
11/13/2023,US_2413,Ultrasound,Radiology,9,6.6,0.73,22,3000,1000,"KES 66,000",Monday,November,FALSE,"KES 65,000",,,,
2/28/2023,MRI_2414,MRI Scanner,Radiology,9,2.6,0.29,1,30000,5000,"KES 30,000",Tuesday,February,FALSE,"KES 25,000",,,,
1/1/2023,US_2415,Ultrasound,Radiology,10,8,0.8,40,3000,1000,"KES 120,000",Sunday,January,TRUE,"KES 119,000",,,,
2/2/2023,CT_2416,CT Scanner,Radiology,16,13.5,0.84,7,10000,3000,"KES 70,000",Thursday,February,FALSE,"KES 67,000",,,,
7/15/2023,CT_2417,CT Scanner,Radiology,9,5.9,0.66,19,10000,3000,"KES 190,000",Saturday,July,TRUE,"KES 187,000",,,,
4/15/2023,MRI_2418,MRI Scanner,Radiology,10,3.9,0.39,2,30000,5000,"KES 60,000",Saturday,April,TRUE,"KES 55,000",,,,
4/26/2023,US_2419,Ultrasound,Radiology,8,7.7,0.96,34,3000,1000,"KES 102,000",Wednesday,April,FALSE,"KES 101,000",,,,
4/15/2023,US_2420,Ultrasound,Radiology,12,8.7,0.72,24,3000,1000,"KES 72,000",Saturday,April,TRUE,"KES 71,000",,,,
3/10/2023,XRAY_2421,X-Ray Machine,Radiology,12,11.2,0.93,29,2000,1500,"KES 58,000",Friday,March,FALSE,"KES 56,500",,,,
1/10/2023,CT_2422,CT Scanner,Radiology,16,9.7,0.61,26,10000,3000,"KES 260,000",Tuesday,January,FALSE,"KES 257,000",,,,
2/14/2023,MRI_2423,MRI Scanner,Radiology,8,1.1,0.14,1,30000,5000,"KES 30,000",Tuesday,February,FALSE,"KES 25,000",,,,
5/25/2023,MRI_2424,MRI Scanner,Radiology,11,1.3,0.12,2,30000,5000,"KES 60,000",Thursday,May,FALSE,"KES 55,000",,,,
11/16/2023,MAMMO_2425,Mammography Unit,Women's Health,15,12.2,0.81,20,5000,1000,"KES 100,000",Thursday,November,FALSE,"KES 99,000",,,,
7/17/2023,XRAY_2426,X-Ray Machine,Radiology,10,3.8,0.38,20,2000,1500,"KES 40,000",Monday,July,FALSE,"KES 38,500",,,,
12/15/2023,MAMMO_2427,Mammography Unit,Women's Health,17,3.9,0.23,21,5000,1000,"KES 105,000",Friday,December,FALSE,"KES 104,000",,,,
2/17/2023,MRI_2428,MRI Scanner,Radiology,9,2.2,0.24,5,30000,5000,"KES 150,000",Friday,February,FALSE,"KES 145,000",,,,
7/15/2023,CT_2429,CT Scanner,Radiology,20,19.8,0.99,28,10000,3000,"KES 280,000",Saturday,July,TRUE,"KES 277,000",,,,
4/6/2023,MRI_2430,MRI Scanner,Radiology,14,3.8,0.27,4,30000,5000,"KES 120,000",Thursday,April,FALSE,"KES 115,000",,,,
3/27/2023,US_2431,Ultrasound,Radiology,9,8.6,0.96,23,3000,1000,"KES 69,000",Monday,March,FALSE,"KES 68,000",,,,
6/4/2023,MRI_2432,MRI Scanner,Radiology,9,0.7,0.08,2,30000,5000,"KES 60,000",Sunday,June,TRUE,"KES 55,000",,,,
4/25/2023,XRAY_2433,X-Ray Machine,Radiology,18,10.6,0.59,30,2000,1500,"KES 60,000",Tuesday,April,FALSE,"KES 58,500",,,,
5/30/2023,XRAY_2434,X-Ray Machine,Radiology,15,8.8,0.59,11,2000,1500,"KES 22,000",Tuesday,May,FALSE,"KES 20,500",,,,
3/2/2023,CT_2435,CT Scanner,Radiology,16,5.4,0.34,9,10000,3000,"KES 90,000",Thursday,March,FALSE,"KES 87,000",,,,
6/4/2023,MAMMO_2436,Mammography Unit,Women's Health,10,6.1,0.61,7,5000,1000,"KES 35,000",Sunday,June,TRUE,"KES 34,000",,,,
6/24/2023,XRAY_2437,X-Ray Machine,Radiology,13,5.9,0.45,12,2000,1500,"KES 24,000",Saturday,June,TRUE,"KES 22,500",,,,
2/27/2023,MRI_2438,MRI Scanner,Radiology,13,1.8,0.14,1,30000,5000,"KES 30,000",Monday,February,FALSE,"KES 25,000",,,,
3/29/2023,MAMMO_2439,Mammography Unit,Women's Health,11,8.9,0.81,6,5000,1000,"KES 30,000",Wednesday,March,FALSE,"KES 29,000",,,,
7/18/2023,XRAY_2440,X-Ray Machine,Radiology,9,7,0.78,25,2000,1500,"KES 50,000",Tuesday,July,FALSE,"KES 48,500",,,,
5/18/2023,XRAY_2441,X-Ray Machine,Radiology,14,8.7,0.62,8,2000,1500,"KES 16,000",Thursday,May,FALSE,"KES 14,500",,,,
8/3/2023,CT_2442,CT Scanner,Radiology,17,3.9,0.23,27,10000,3000,"KES 270,000",Thursday,August,FALSE,"KES 267,000",,,,
5/18/2023,US_2443,Ultrasound,Radiology,10,7.6,0.76,39,3000,1000,"KES 117,000",Thursday,May,FALSE,"KES 116,000",,,,
9/3/2023,XRAY_2444,X-Ray Machine,Radiology,20,5,0.25,7,2000,1500,"KES 14,000",Sunday,September,TRUE,"KES 12,500",,,,
12/9/2023,US_2445,Ultrasound,Radiology,10,9.4,0.94,31,3000,1000,"KES 93,000",Saturday,December,TRUE,"KES 92,000",,,,
5/20/2023,MRI_2446,MRI Scanner,Radiology,11,0.6,0.05,3,30000,5000,"KES 90,000",Saturday,May,TRUE,"KES 85,000",,,,
2/9/2023,XRAY_2447,X-Ray Machine,Radiology,15,8.3,0.55,24,2000,1500,"KES 48,000",Thursday,February,FALSE,"KES 46,500",,,,
10/7/2023,MRI_2448,MRI Scanner,Radiology,12,2.8,0.23,2,30000,5000,"KES 60,000",Saturday,October,TRUE,"KES 55,000",,,,
1/22/2023,US_2449,Ultrasound,Radiology,8,7,0.88,29,3000,1000,"KES 87,000",Sunday,January,TRUE,"KES 86,000",,,,
6/5/2023,XRAY_2450,X-Ray Machine,Radiology,17,3.1,0.18,12,2000,1500,"KES 24,000",Monday,June,FALSE,"KES 22,500",,,,
8/21/2023,US_2451,Ultrasound,Radiology,9,8,0.89,28,3000,1000,"KES 84,000",Monday,August,FALSE,"KES 83,000",,,,
9/12/2023,XRAY_2452,X-Ray Machine,Radiology,9,3.3,0.37,20,2000,1500,"KES 40,000",Tuesday,September,FALSE,"KES 38,500",,,,
7/31/2023,XRAY_2453,X-Ray Machine,Radiology,10,9.2,0.92,16,2000,1500,"KES 32,000",Monday,July,FALSE,"KES 30,500",,,,
5/23/2023,MRI_2454,MRI Scanner,Radiology,16,2.5,0.16,5,30000,5000,"KES 150,000",Tuesday,May,FALSE,"KES 145,000",,,,
12/9/2023,XRAY_2455,X-Ray Machine,Radiology,11,4.5,0.41,18,2000,1500,"KES 36,000",Saturday,December,TRUE,"KES 34,500",,,,
12/7/2023,MRI_2456,MRI Scanner,Radiology,8,2.6,0.33,1,30000,5000,"KES 30,000",Thursday,December,FALSE,"KES 25,000",,,,
9/22/2023,MAMMO_2457,Mammography Unit,Women's Health,17,3.9,0.23,22,5000,1000,"KES 110,000",Friday,September,FALSE,"KES 109,000",,,,
12/28/2023,XRAY_2458,X-Ray Machine,Radiology,15,4.9,0.33,7,2000,1500,"KES 14,000",Thursday,December,FALSE,"KES 12,500",,,,
8/24/2023,US_2459,Ultrasound,Radiology,11,6.2,0.56,37,3000,1000,"KES 111,000",Thursday,August,FALSE,"KES 110,000",,,,
6/12/2023,US_2460,Ultrasound,Radiology,9,9,1,39,3000,1000,"KES 117,000",Monday,June,FALSE,"KES 116,000",,,,
6/23/2023,CT_2461,CT Scanner,Radiology,11,6.4,0.58,26,10000,3000,"KES 260,000",Friday,June,FALSE,"KES 257,000",,,,
3/1/2023,XRAY_2462,X-Ray Machine,Radiology,14,13.2,0.94,22,2000,1500,"KES 44,000",Wednesday,March,FALSE,"KES 42,500",,,,
11/16/2023,XRAY_2463,X-Ray Machine,Radiology,18,12.4,0.69,27,2000,1500,"KES 54,000",Thursday,November,FALSE,"KES 52,500",,,,
2/13/2023,MRI_2464,MRI Scanner,Radiology,15,2.7,0.18,5,30000,5000,"KES 150,000",Monday,February,FALSE,"KES 145,000",,,,
1/22/2023,US_2465,Ultrasound,Radiology,8,6.4,0.8,18,3000,1000,"KES 54,000",Sunday,January,TRUE,"KES 53,000",,,,
7/13/2023,MRI_2466,MRI Scanner,Radiology,14,3.5,0.25,5,30000,5000,"KES 150,000",Thursday,July,FALSE,"KES 145,000",,,,
6/5/2023,MRI_2467,MRI Scanner,Radiology,9,2.7,0.3,5,30000,5000,"KES 150,000",Monday,June,FALSE,"KES 145,000",,,,
1/9/2023,US_2468,Ultrasound,Radiology,11,7.5,0.68,21,3000,1000,"KES 63,000",Monday,January,FALSE,"KES 62,000",,,,
4/6/2023,MAMMO_2469,Mammography Unit,Women's Health,15,12.7,0.85,29,5000,1000,"KES 145,000",Thursday,April,FALSE,"KES 144,000",,,,
10/13/2023,US_2470,Ultrasound,Radiology,12,7.5,0.62,22,3000,1000,"KES 66,000",Friday,October,FALSE,"KES 65,000",,,,
9/6/2023,CT_2471,CT Scanner,Radiology,14,12.2,0.87,9,10000,3000,"KES 90,000",Wednesday,September,FALSE,"KES 87,000",,,,
2/13/2023,US_2472,Ultrasound,Radiology,11,10.8,0.98,21,3000,1000,"KES 63,000",Monday,February,FALSE,"KES 62,000",,,,
1/1/2023,MAMMO_2473,Mammography Unit,Women's Health,18,6.3,0.35,8,5000,1000,"KES 40,000",Sunday,January,TRUE,"KES 39,000",,,,
9/28/2023,CT_2474,CT Scanner,Radiology,14,8.3,0.59,30,10000,3000,"KES 300,000",Thursday,September,FALSE,"KES 297,000",,,,
7/19/2023,CT_2475,CT Scanner,Radiology,11,7.7,0.7,12,10000,3000,"KES 120,000",Wednesday,July,FALSE,"KES 117,000",,,,
2/18/2023,US_2476,Ultrasound,Radiology,11,6.5,0.59,19,3000,1000,"KES 57,000",Saturday,February,TRUE,"KES 56,000",,,,
1/27/2023,CT_2477,CT Scanner,Radiology,11,7.2,0.65,19,10000,3000,"KES 190,000",Friday,January,FALSE,"KES 187,000",,,,
5/16/2023,MRI_2478,MRI Scanner,Radiology,11,3.6,0.33,5,30000,5000,"KES 150,000",Tuesday,May,FALSE,"KES 145,000",,,,
3/8/2023,MAMMO_2479,Mammography Unit,Women's Health,11,11,1,21,5000,1000,"KES 105,000",Wednesday,March,FALSE,"KES 104,000",,,,
12/22/2023,MRI_2480,MRI Scanner,Radiology,9,2.4,0.27,5,30000,5000,"KES 150,000",Friday,December,FALSE,"KES 145,000",,,,
3/7/2023,CT_2481,CT Scanner,Radiology,14,3.9,0.28,28,10000,3000,"KES 280,000",Tuesday,March,FALSE,"KES 277,000",,,,
5/17/2023,XRAY_2482,X-Ray Machine,Radiology,15,6.2,0.41,13,2000,1500,"KES 26,000",Wednesday,May,FALSE,"KES 24,500",,,,
12/10/2023,MAMMO_2483,Mammography Unit,Women's Health,13,5,0.38,24,5000,1000,"KES 120,000",Sunday,December,TRUE,"KES 119,000",,,,
10/28/2023,MAMMO_2484,Mammography Unit,Women's Health,17,12,0.71,30,5000,1000,"KES 150,000",Saturday,October,TRUE,"KES 149,000",,,,
8/29/2023,CT_2485,CT Scanner,Radiology,18,15.1,0.84,26,10000,3000,"KES 260,000",Tuesday,August,FALSE,"KES 257,000",,,,
6/2/2023,CT_2486,CT Scanner,Radiology,17,10.3,0.61,28,10000,3000,"KES 280,000",Friday,June,FALSE,"KES 277,000",,,,
5/16/2023,XRAY_2487,X-Ray Machine,Radiology,11,6.9,0.63,24,2000,1500,"KES 48,000",Tuesday,May,FALSE,"KES 46,500",,,,
6/1/2023,US_2488,Ultrasound,Radiology,11,9,0.82,18,3000,1000,"KES 54,000",Thursday,June,FALSE,"KES 53,000",,,,
1/13/2023,CT_2489,CT Scanner,Radiology,18,10.7,0.59,7,10000,3000,"KES 70,000",Friday,January,FALSE,"KES 67,000",,,,
4/19/2023,CT_2490,CT Scanner,Radiology,12,11.1,0.92,23,10000,3000,"KES 230,000",Wednesday,April,FALSE,"KES 227,000",,,,
7/26/2023,XRAY_2491,X-Ray Machine,Radiology,19,6.8,0.36,27,2000,1500,"KES 54,000",Wednesday,July,FALSE,"KES 52,500",,,,
12/8/2023,CT_2492,CT Scanner,Radiology,12,11.1,0.92,24,10000,3000,"KES 240,000",Friday,December,FALSE,"KES 237,000",,,,
3/23/2023,MRI_2493,MRI Scanner,Radiology,9,3.1,0.34,3,30000,5000,"KES 90,000",Thursday,March,FALSE,"KES 85,000",,,,
12/16/2023,MAMMO_2494,Mammography Unit,Women's Health,12,7,0.58,6,5000,1000,"KES 30,000",Saturday,December,TRUE,"KES 29,000",,,,
10/16/2023,MAMMO_2495,Mammography Unit,Women's Health,10,9.7,0.97,24,5000,1000,"KES 120,000",Monday,October,FALSE,"KES 119,000",,,,
7/14/2023,CT_2496,CT Scanner,Radiology,10,8.9,0.89,24,10000,3000,"KES 240,000",Friday,July,FALSE,"KES 237,000",,,,
1/21/2023,MAMMO_2497,Mammography Unit,Women's Health,11,6.2,0.56,28,5000,1000,"KES 140,000",Saturday,January,TRUE,"KES 139,000",,,,
4/15/2023,CT_2498,CT Scanner,Radiology,19,16.6,0.87,10,10000,3000,"KES 100,000",Saturday,April,TRUE,"KES 97,000",,,,
9/23/2023,CT_2499,CT Scanner,Radiology,14,9.4,0.67,18,10000,3000,"KES 180,000",Saturday,September,TRUE,"KES 177,000",,,,
1/25/2023,MRI_2500,MRI Scanner,Radiology,9,3.9,0.43,2,30000,5000,"KES 60,000",Wednesday,January,FALSE,"KES 55,000",,,,
12/6/2023,MAMMO_2501,Mammography Unit,Women's Health,8,4,0.5,25,5000,1000,"KES 125,000",Wednesday,December,FALSE,"KES 124,000",,,,
4/14/2023,US_2502,Ultrasound,Radiology,8,6.7,0.84,21,3000,1000,"KES 63,000",Friday,April,FALSE,"KES 62,000",,,,
10/19/2023,MAMMO_2503,Mammography Unit,Women's Health,13,12.2,0.94,19,5000,1000,"KES 95,000",Thursday,October,FALSE,"KES 94,000",,,,
1/9/2023,MAMMO_2504,Mammography Unit,Women's Health,11,4.7,0.43,19,5000,1000,"KES 95,000",Monday,January,FALSE,"KES 94,000",,,,
3/7/2023,MAMMO_2505,Mammography Unit,Women's Health,18,4.1,0.23,29,5000,1000,"KES 145,000",Tuesday,March,FALSE,"KES 144,000",,,,
6/28/2023,CT_2506,CT Scanner,Radiology,14,10.4,0.74,18,10000,3000,"KES 180,000",Wednesday,June,FALSE,"KES 177,000",,,,
12/6/2023,MAMMO_2507,Mammography Unit,Women's Health,16,9,0.56,26,5000,1000,"KES 130,000",Wednesday,December,FALSE,"KES 129,000",,,,
3/8/2023,XRAY_2508,X-Ray Machine,Radiology,10,9.8,0.98,10,2000,1500,"KES 20,000",Wednesday,March,FALSE,"KES 18,500",,,,
11/11/2023,MAMMO_2509,Mammography Unit,Women's Health,18,7.1,0.39,26,5000,1000,"KES 130,000",Saturday,November,TRUE,"KES 129,000",,,,
4/8/2023,MRI_2510,MRI Scanner,Radiology,12,2.6,0.22,1,30000,5000,"KES 30,000",Saturday,April,TRUE,"KES 25,000",,,,
10/6/2023,US_2511,Ultrasound,Radiology,10,8.1,0.81,37,3000,1000,"KES 111,000",Friday,October,FALSE,"KES 110,000",,,,
7/30/2023,XRAY_2512,X-Ray Machine,Radiology,17,16.3,0.96,21,2000,1500,"KES 42,000",Sunday,July,TRUE,"KES 40,500",,,,
10/8/2023,XRAY_2513,X-Ray Machine,Radiology,17,15,0.88,30,2000,1500,"KES 60,000",Sunday,October,TRUE,"KES 58,500",,,,
6/24/2023,US_2514,Ultrasound,Radiology,8,7.7,0.96,37,3000,1000,"KES 111,000",Saturday,June,TRUE,"KES 110,000",,,,
4/17/2023,US_2515,Ultrasound,Radiology,11,9.8,0.89,15,3000,1000,"KES 45,000",Monday,April,FALSE,"KES 44,000",,,,
5/10/2023,MAMMO_2516,Mammography Unit,Women's Health,17,3.7,0.22,21,5000,1000,"KES 105,000",Wednesday,May,FALSE,"KES 104,000",,,,
9/6/2023,MAMMO_2517,Mammography Unit,Women's Health,10,4.7,0.47,11,5000,1000,"KES 55,000",Wednesday,September,FALSE,"KES 54,000",,,,
5/19/2023,XRAY_2518,X-Ray Machine,Radiology,12,4.3,0.36,30,2000,1500,"KES 60,000",Friday,May,FALSE,"KES 58,500",,,,
2/15/2023,XRAY_2519,X-Ray Machine,Radiology,18,11.4,0.63,18,2000,1500,"KES 36,000",Wednesday,February,FALSE,"KES 34,500",,,,
7/31/2023,US_2520,Ultrasound,Radiology,12,6.3,0.53,35,3000,1000,"KES 105,000",Monday,July,FALSE,"KES 104,000",,,,
7/5/2023,MRI_2521,MRI Scanner,Radiology,10,2.8,0.28,4,30000,5000,"KES 120,000",Wednesday,July,FALSE,"KES 115,000",,,,
1/20/2023,MRI_2522,MRI Scanner,Radiology,12,2.2,0.18,4,30000,5000,"KES 120,000",Friday,January,FALSE,"KES 115,000",,,,
3/19/2023,CT_2523,CT Scanner,Radiology,15,4,0.27,25,10000,3000,"KES 250,000",Sunday,March,TRUE,"KES 247,000",,,,
5/19/2023,MRI_2524,MRI Scanner,Radiology,10,3.5,0.35,3,30000,5000,"KES 90,000",Friday,May,FALSE,"KES 85,000",,,,
6/3/2023,US_2525,Ultrasound,Radiology,11,9.2,0.84,30,3000,1000,"KES 90,000",Saturday,June,TRUE,"KES 89,000",,,,
8/19/2023,XRAY_2526,X-Ray Machine,Radiology,12,11.2,0.93,9,2000,1500,"KES 18,000",Saturday,August,TRUE,"KES 16,500",,,,
11/4/2023,CT_2527,CT Scanner,Radiology,19,15.3,0.81,13,10000,3000,"KES 130,000",Saturday,November,TRUE,"KES 127,000",,,,
8/10/2023,US_2528,Ultrasound,Radiology,11,8.6,0.78,25,3000,1000,"KES 75,000",Thursday,August,FALSE,"KES 74,000",,,,
9/11/2023,XRAY_2529,X-Ray Machine,Radiology,16,15.5,0.97,14,2000,1500,"KES 28,000",Monday,September,FALSE,"KES 26,500",,,,
8/22/2023,MRI_2530,MRI Scanner,Radiology,9,3.4,0.38,3,30000,5000,"KES 90,000",Tuesday,August,FALSE,"KES 85,000",,,,
8/27/2023,US_2531,Ultrasound,Radiology,9,8.4,0.93,33,3000,1000,"KES 99,000",Sunday,August,TRUE,"KES 98,000",,,,
5/4/2023,CT_2532,CT Scanner,Radiology,18,9,0.5,7,10000,3000,"KES 70,000",Thursday,May,FALSE,"KES 67,000",,,,
2/11/2023,XRAY_2533,X-Ray Machine,Radiology,20,17.2,0.86,28,2000,1500,"KES 56,000",Saturday,February,TRUE,"KES 54,500",,,,
12/27/2023,MAMMO_2534,Mammography Unit,Women's Health,18,13.8,0.77,17,5000,1000,"KES 85,000",Wednesday,December,FALSE,"KES 84,000",,,,
9/16/2023,MAMMO_2535,Mammography Unit,Women's Health,9,4.6,0.51,24,5000,1000,"KES 120,000",Saturday,September,TRUE,"KES 119,000",,,,
10/13/2023,MRI_2536,MRI Scanner,Radiology,14,1.9,0.14,3,30000,5000,"KES 90,000",Friday,October,FALSE,"KES 85,000",,,,
9/27/2023,MAMMO_2537,Mammography Unit,Women's Health,17,11.7,0.69,15,5000,1000,"KES 75,000",Wednesday,September,FALSE,"KES 74,000",,,,
6/30/2023,MRI_2538,MRI Scanner,Radiology,9,2.7,0.3,1,30000,5000,"KES 30,000",Friday,June,FALSE,"KES 25,000",,,,
8/5/2023,MRI_2539,MRI Scanner,Radiology,8,3.8,0.47,4,30000,5000,"KES 120,000",Saturday,August,TRUE,"KES 115,000",,,,
9/25/2023,CT_2540,CT Scanner,Radiology,9,6.9,0.77,9,10000,3000,"KES 90,000",Monday,September,FALSE,"KES 87,000",,,,
8/19/2023,MAMMO_2541,Mammography Unit,Women's Health,20,14.6,0.73,30,5000,1000,"KES 150,000",Saturday,August,TRUE,"KES 149,000",,,,
2/11/2023,XRAY_2542,X-Ray Machine,Radiology,11,10.3,0.94,19,2000,1500,"KES 38,000",Saturday,February,TRUE,"KES 36,500",,,,
11/14/2023,US_2543,Ultrasound,Radiology,9,7.9,0.88,22,3000,1000,"KES 66,000",Tuesday,November,FALSE,"KES 65,000",,,,
10/6/2023,CT_2544,CT Scanner,Radiology,8,4.7,0.59,25,10000,3000,"KES 250,000",Friday,October,FALSE,"KES 247,000",,,,
6/13/2023,US_2545,Ultrasound,Radiology,10,6.4,0.64,28,3000,1000,"KES 84,000",Tuesday,June,FALSE,"KES 83,000",,,,
3/27/2023,MAMMO_2546,Mammography Unit,Women's Health,10,10,1,20,5000,1000,"KES 100,000",Monday,March,FALSE,"KES 99,000",,,,
2/15/2023,MAMMO_2547,Mammography Unit,Women's Health,8,5.5,0.69,11,5000,1000,"KES 55,000",Wednesday,February,FALSE,"KES 54,000",,,,
1/31/2023,MAMMO_2548,Mammography Unit,Women's Health,19,17.5,0.92,10,5000,1000,"KES 50,000",Tuesday,January,FALSE,"KES 49,000",,,,
9/1/2023,MAMMO_2549,Mammography Unit,Women's Health,9,6,0.67,6,5000,1000,"KES 30,000",Friday,September,FALSE,"KES 29,000",,,,
11/27/2023,MAMMO_2550,Mammography Unit,Women's Health,15,8.6,0.57,30,5000,1000,"KES 150,000",Monday,November,FALSE,"KES 149,000",,,,
5/22/2023,MAMMO_2551,Mammography Unit,Women's Health,12,6.4,0.53,11,5000,1000,"KES 55,000",Monday,May,FALSE,"KES 54,000",,,,
7/2/2023,US_2552,Ultrasound,Radiology,10,7.8,0.78,28,3000,1000,"KES 84,000",Sunday,July,TRUE,"KES 83,000",,,,
9/21/2023,MRI_2553,MRI Scanner,Radiology,8,3.8,0.47,2,30000,5000,"KES 60,000",Thursday,September,FALSE,"KES 55,000",,,,
5/4/2023,MAMMO_2554,Mammography Unit,Women's Health,10,6.2,0.62,24,5000,1000,"KES 120,000",Thursday,May,FALSE,"KES 119,000",,,,
4/19/2023,CT_2555,CT Scanner,Radiology,16,4.6,0.29,10,10000,3000,"KES 100,000",Wednesday,April,FALSE,"KES 97,000",,,,
8/14/2023,US_2556,Ultrasound,Radiology,9,6.8,0.76,24,3000,1000,"KES 72,000",Monday,August,FALSE,"KES 71,000",,,,
12/4/2023,CT_2557,CT Scanner,Radiology,9,8.1,0.9,24,10000,3000,"KES 240,000",Monday,December,FALSE,"KES 237,000",,,,
11/30/2023,US_2558,Ultrasound,Radiology,12,6.5,0.54,29,3000,1000,"KES 87,000",Thursday,November,FALSE,"KES 86,000",,,,
8/7/2023,XRAY_2559,X-Ray Machine,Radiology,8,5.9,0.74,15,2000,1500,"KES 30,000",Monday,August,FALSE,"KES 28,500",,,,
2/11/2023,MAMMO_2560,Mammography Unit,Women's Health,9,6.7,0.74,15,5000,1000,"KES 75,000",Saturday,February,TRUE,"KES 74,000",,,,
3/22/2023,MRI_2561,MRI Scanner,Radiology,15,1.2,0.08,5,30000,5000,"KES 150,000",Wednesday,March,FALSE,"KES 145,000",,,,
