Date,Equipment_ID,Equipment_Type,Department,Available_Hours,Actual_Operating_Hours,Utilization_Rate,Number_of_Procedures,Daily_Operating_Cost,Maintenance_Cost,Procedure_Revenue,Day_of_Week,Month,Is_Weekend,Mode_of_Payment
2023-06-03,MAMMO_2261,Mammography Unit,Women's Health,14,11.1,0.79,18,3990.89,0,5874.2,Saturday,June,True,cash
2023-12-18,MRI_2262,MRI Scanner,Radiology,12,1.0,0.08,1,4271.29,0,8935.32,Monday,December,False,insurance
2023-03-28,MRI_2263,MRI Scanner,Radiology,8,1.3,0.16,4,1264.79,0,1339.55,Tuesday,March,False,insurance
2023-01-18,MAMMO_2264,Mammography Unit,Women's Health,19,5.9,0.31,29,4447.41,0,43932.74,Wednesday,January,False,cash
2023-09-03,XRAY_2265,X-Ray Machine,Radiology,11,4.0,0.36,7,1797.78,0,33598.19,Sunday,September,True,cash
2023-08-21,MAMMO_2266,Mammography Unit,Women's Health,11,10.4,0.95,16,1273.38,0,26890.84,Monday,August,False,insurance
2023-01-20,CT_2267,CT Scanner,Radiology,9,4.7,0.52,17,3593.89,0,3917.55,Friday,January,False,insurance
2023-12-14,US_2268,Ultrasound,Radiology,11,10.4,0.95,35,3707.55,0,17353.26,Thursday,December,False,insurance
2023-05-07,MRI_2269,MRI Scanner,Radiology,11,2.0,0.18,3,1796.91,0,33218.55,Sunday,May,True,insurance
2023-03-04,XRAY_2270,X-Ray Machine,Radiology,20,5.6,0.28,27,7240.58,0,49954.84,Saturday,March,True,cash
2023-07-24,MAMMO_2271,Mammography Unit,Women's Health,13,3.8,0.29,6,3062.68,0,21342.88,Monday,July,False,cash
2023-10-01,CT_2272,CT Scanner,Radiology,13,10.6,0.82,18,815.41,0,25703.13,Sunday,October,True,insurance
2023-08-31,US_2273,Ultrasound,Radiology,12,7.2,0.6,35,3113.15,0,38023.23,Thursday,August,False,insurance
2023-07-13,MRI_2274,MRI Scanner,Radiology,15,2.5,0.17,2,4320.13,0,39298.19,Thursday,July,False,cash
2023-11-08,XRAY_2275,X-Ray Machine,Radiology,20,15.5,0.78,27,5880.57,0,19530.33,Wednesday,November,False,insurance
2023-05-05,MRI_2276,MRI Scanner,Radiology,8,3.7,0.46,1,6902.16,0,46854.01,Friday,May,False,insurance
2023-03-27,CT_2277,CT Scanner,Radiology,19,13.6,0.72,16,2179.05,0,12373.91,Monday,March,False,insurance
2023-11-01,MAMMO_2278,Mammography Unit,Women's Health,18,4.9,0.27,23,6679.19,0,12034.81,Wednesday,November,False,insurance
2023-07-07,CT_2279,CT Scanner,Radiology,18,4.1,0.23,30,1537.82,0,25187.77,Friday,July,False,insurance
2023-01-25,MRI_2280,MRI Scanner,Radiology,9,1.4,0.16,3,2169.43,0,43581.46,Wednesday,January,False,cash
2023-06-19,MRI_2281,MRI Scanner,Radiology,12,0.8,0.07,4,5327.41,0,2477.25,Monday,June,False,cash
2023-03-26,MRI_2282,MRI Scanner,Radiology,9,0.6,0.07,3,6494.4,0,14328.86,Sunday,March,True,cash
2023-11-25,XRAY_2283,X-Ray Machine,Radiology,8,7.3,0.91,20,7037.76,0,37916.84,Saturday,November,True,insurance
2023-10-26,XRAY_2284,X-Ray Machine,Radiology,20,15.9,0.8,22,1855.32,0,39587.31,Thursday,October,False,cash
2023-04-28,MRI_2285,MRI Scanner,Radiology,8,0.7,0.09,5,2250.5,0,27204.32,Friday,April,False,insurance
2023-11-03,MRI_2286,MRI Scanner,Radiology,13,3.9,0.3,4,4383.62,0,19175.41,Friday,November,False,cash
2023-02-17,XRAY_2287,X-Ray Machine,Radiology,17,12.1,0.71,27,4779.72,0,23796.83,Friday,February,False,insurance
2023-07-13,US_2288,Ultrasound,Radiology,9,6.4,0.71,16,2539.52,0,33925.64,Thursday,July,False,insurance
2023-01-09,XRAY_2289,X-Ray Machine,Radiology,16,10.9,0.68,7,5099.82,0,31904.51,Monday,January,False,insurance
2023-04-16,CT_2290,CT Scanner,Radiology,17,4.5,0.26,11,1275.16,0,18997.35,Sunday,April,True,cash
2023-09-23,MRI_2291,MRI Scanner,Radiology,10,0.9,0.09,3,3578.57,0,1334.9,Saturday,September,True,cash
2023-09-03,US_2292,Ultrasound,Radiology,9,6.0,0.67,24,6066.82,0,36521.84,Sunday,September,True,insurance
2023-01-07,XRAY_2293,X-Ray Machine,Radiology,14,13.2,0.94,28,3336.13,0,48111.69,Saturday,January,True,insurance
2023-02-14,MAMMO_2294,Mammography Unit,Women's Health,8,7.1,0.89,19,5178.69,0,45934.58,Tuesday,February,False,cash
2023-11-23,XRAY_2295,X-Ray Machine,Radiology,19,5.8,0.31,20,5391.96,0,28861.71,Thursday,November,False,cash
2023-07-22,XRAY_2296,X-Ray Machine,Radiology,13,12.9,0.99,22,698.7,0,37200.06,Saturday,July,True,cash
2023-03-31,MAMMO_2297,Mammography Unit,Women's Health,8,7.1,0.89,9,2782.07,0,33339.11,Friday,March,False,insurance
2023-04-08,MAMMO_2298,Mammography Unit,Women's Health,13,8.2,0.63,29,5906.28,0,31453.68,Saturday,April,True,insurance
2023-02-01,CT_2299,CT Scanner,Radiology,20,8.6,0.43,18,7161.33,0,45571.49,Wednesday,February,False,insurance
2023-04-16,US_2300,Ultrasound,Radiology,11,9.2,0.84,39,2881.22,0,27535.62,Sunday,April,True,cash
2023-07-22,US_2301,Ultrasound,Radiology,11,7.2,0.65,33,6034.38,0,31104.26,Saturday,July,True,insurance
2023-10-24,MAMMO_2302,Mammography Unit,Women's Health,19,9.7,0.51,10,4343.46,0,12919.79,Tuesday,October,False,cash
2023-09-16,MAMMO_2303,Mammography Unit,Women's Health,12,9.8,0.82,26,5837.5,0,27969.62,Saturday,September,True,insurance
2023-11-24,XRAY_2304,X-Ray Machine,Radiology,13,8.6,0.66,20,1664.09,0,23121.64,Friday,November,False,insurance
2023-02-23,MRI_2305,MRI Scanner,Radiology,14,3.8,0.27,5,5039.59,0,47928.95,Thursday,February,False,cash
2023-12-25,XRAY_2306,X-Ray Machine,Radiology,9,4.5,0.5,15,690.48,0,43423.78,Monday,December,False,insurance
2023-04-30,US_2307,Ultrasound,Radiology,12,6.2,0.52,20,6159.21,0,16270.47,Sunday,April,True,insurance
2023-05-07,CT_2308,CT Scanner,Radiology,13,11.0,0.85,21,1174.71,0,25407.43,Sunday,May,True,cash
2023-05-10,XRAY_2309,X-Ray Machine,Radiology,13,3.7,0.28,8,6003.1,0,24829.23,Wednesday,May,False,cash
2023-02-10,US_2310,Ultrasound,Radiology,11,9.5,0.86,31,3281.94,0,29665.67,Friday,February,False,insurance
2023-01-24,MRI_2311,MRI Scanner,Radiology,12,3.0,0.25,1,6697.73,0,22990.86,Tuesday,January,False,insurance
2023-04-20,US_2312,Ultrasound,Radiology,12,8.0,0.67,30,2457.14,0,10898.15,Thursday,April,False,cash
2023-10-07,US_2313,Ultrasound,Radiology,9,8.1,0.9,16,4100.1,0,2699.77,Saturday,October,True,cash
2023-08-23,CT_2314,CT Scanner,Radiology,14,12.4,0.89,10,3433.6,0,39100.1,Wednesday,August,False,insurance
2023-12-07,XRAY_2315,X-Ray Machine,Radiology,12,5.5,0.46,6,7376.48,0,47342.04,Thursday,December,False,insurance
2023-11-15,MRI_2316,MRI Scanner,Radiology,10,3.9,0.39,5,3388.6,0,49062.97,Wednesday,November,False,insurance
2023-03-01,XRAY_2317,X-Ray Machine,Radiology,20,8.8,0.44,27,4572.55,0,44794.08,Wednesday,March,False,insurance
2023-02-04,CT_2318,CT Scanner,Radiology,13,3.8,0.29,19,4653.38,0,24318.87,Saturday,February,True,insurance
2023-07-22,US_2319,Ultrasound,Radiology,9,7.4,0.82,32,7292.74,0,43333.2,Saturday,July,True,insurance
2023-10-17,US_2320,Ultrasound,Radiology,11,6.2,0.56,29,3633.74,0,32692.47,Tuesday,October,False,insurance
2023-11-08,MAMMO_2321,Mammography Unit,Women's Health,14,6.0,0.43,16,1102.95,0,28478.95,Wednesday,November,False,insurance
2023-12-20,MAMMO_2322,Mammography Unit,Women's Health,15,15.0,1.0,11,2840.36,0,41840.18,Wednesday,December,False,cash
2023-12-20,US_2323,Ultrasound,Radiology,10,9.2,0.92,21,3592.53,0,10574.66,Wednesday,December,False,insurance
2023-09-02,CT_2324,CT Scanner,Radiology,17,8.2,0.48,29,1189.09,0,47347.77,Saturday,September,True,insurance
2023-07-23,CT_2325,CT Scanner,Radiology,10,8.7,0.87,21,3257.7,0,29454.7,Sunday,July,True,insurance
2023-10-02,US_2326,Ultrasound,Radiology,9,8.4,0.93,22,2822.25,0,13013.61,Monday,October,False,cash
2023-09-29,MAMMO_2327,Mammography Unit,Women's Health,8,4.2,0.53,26,1253.54,0,45381.77,Friday,September,False,insurance
2023-06-05,MAMMO_2328,Mammography Unit,Women's Health,20,18.6,0.93,8,3157.61,0,17965.77,Monday,June,False,insurance
2023-11-09,US_2329,Ultrasound,Radiology,10,7.1,0.71,32,509.71,0,23601.62,Thursday,November,False,insurance
2023-09-07,XRAY_2330,X-Ray Machine,Radiology,17,15.4,0.91,15,5213.41,0,16531.95,Thursday,September,False,cash
2023-05-24,CT_2331,CT Scanner,Radiology,19,4.5,0.24,24,4397.9,0,9727.08,Wednesday,May,False,insurance
2023-01-23,US_2332,Ultrasound,Radiology,8,7.1,0.89,26,1990.3,0,19762.32,Monday,January,False,insurance
2023-02-04,XRAY_2333,X-Ray Machine,Radiology,19,10.5,0.55,10,3639.0,0,12593.87,Saturday,February,True,insurance
2023-04-21,CT_2334,CT Scanner,Radiology,16,9.8,0.61,17,1761.35,0,39760.29,Friday,April,False,insurance
2023-09-22,MRI_2335,MRI Scanner,Radiology,10,3.6,0.36,2,2718.9,0,29559.8,Friday,September,False,insurance
2023-12-27,CT_2336,CT Scanner,Radiology,18,14.9,0.83,22,3341.59,0,26748.9,Wednesday,December,False,insurance
2023-01-15,XRAY_2337,X-Ray Machine,Radiology,12,10.3,0.86,9,4747.35,0,6622.89,Sunday,January,True,insurance
2023-07-03,XRAY_2338,X-Ray Machine,Radiology,15,13.2,0.88,6,5347.96,0,26404.36,Monday,July,False,insurance
2023-12-23,MAMMO_2339,Mammography Unit,Women's Health,8,6.7,0.84,26,3294.86,0,47877.03,Saturday,December,True,cash
2023-01-29,CT_2340,CT Scanner,Radiology,16,7.8,0.49,25,4183.55,0,33299.28,Sunday,January,True,insurance
2023-06-20,US_2341,Ultrasound,Radiology,12,9.5,0.79,21,5857.23,0,20231.99,Tuesday,June,False,insurance
2023-10-27,US_2342,Ultrasound,Radiology,12,10.7,0.89,21,1123.74,0,39959.43,Friday,October,False,cash
2023-07-19,US_2343,Ultrasound,Radiology,9,8.6,0.96,27,788.73,0,46330.15,Wednesday,July,False,cash
2023-03-11,MAMMO_2344,Mammography Unit,Women's Health,18,8.2,0.46,22,2196.45,0,41169.23,Saturday,March,True,cash
2023-06-17,MRI_2345,MRI Scanner,Radiology,16,2.2,0.14,2,3948.55,0,7832.31,Saturday,June,True,cash
2023-09-26,US_2346,Ultrasound,Radiology,11,7.3,0.66,34,1750.72,0,35212.09,Tuesday,September,False,insurance
2023-07-23,US_2347,Ultrasound,Radiology,12,10.7,0.89,40,1735.07,0,41661.72,Sunday,July,True,insurance
2023-09-12,US_2348,Ultrasound,Radiology,10,9.2,0.92,27,6541.56,0,11892.51,Tuesday,September,False,cash
2023-05-19,CT_2349,CT Scanner,Radiology,14,5.5,0.39,10,3547.8,0,39350.27,Friday,May,False,insurance
2023-11-15,US_2350,Ultrasound,Radiology,8,6.3,0.79,37,6491.37,0,39244.71,Wednesday,November,False,insurance
2023-12-24,MRI_2351,MRI Scanner,Radiology,14,3.7,0.26,5,3910.94,0,34277.34,Sunday,December,True,insurance
2023-11-18,MAMMO_2352,Mammography Unit,Women's Health,9,7.7,0.86,26,6127.79,0,34873.86,Saturday,November,True,insurance
2023-09-26,CT_2353,CT Scanner,Radiology,14,10.5,0.75,30,7253.89,0,28580.7,Tuesday,September,False,insurance
2023-03-01,MAMMO_2354,Mammography Unit,Women's Health,16,5.6,0.35,28,2406.91,0,46744.95,Wednesday,March,False,cash
2023-07-17,MAMMO_2355,Mammography Unit,Women's Health,15,6.8,0.45,20,7215.28,0,6298.14,Monday,July,False,insurance
2023-06-19,MRI_2356,MRI Scanner,Radiology,16,3.0,0.19,3,4339.01,0,24861.83,Monday,June,False,insurance
2023-07-31,CT_2357,CT Scanner,Radiology,14,4.6,0.33,23,4418.6,0,7840.04,Monday,July,False,cash
2023-12-23,MRI_2358,MRI Scanner,Radiology,10,1.6,0.16,2,5192.8,0,41267.94,Saturday,December,True,insurance
2023-09-24,XRAY_2359,X-Ray Machine,Radiology,16,3.5,0.22,14,4593.79,0,36152.61,Sunday,September,True,cash
2023-02-11,XRAY_2360,X-Ray Machine,Radiology,18,13.3,0.74,18,2878.31,0,26581.05,Saturday,February,True,insurance
2023-12-18,MRI_2361,MRI Scanner,Radiology,14,1.6,0.11,3,2720.56,0,35476.98,Monday,December,False,cash
2023-07-27,CT_2362,CT Scanner,Radiology,15,6.4,0.43,8,6407.22,0,9833.62,Thursday,July,False,insurance
2023-07-16,CT_2363,CT Scanner,Radiology,18,8.9,0.49,26,6514.83,0,41282.89,Sunday,July,True,insurance
2023-10-21,XRAY_2364,X-Ray Machine,Radiology,15,4.2,0.28,30,6505.13,0,8976.4,Saturday,October,True,insurance
2023-06-05,MRI_2365,MRI Scanner,Radiology,12,3.0,0.25,2,7494.65,0,34292.76,Monday,June,False,insurance
2023-06-10,XRAY_2366,X-Ray Machine,Radiology,14,10.9,0.78,16,3917.67,0,27392.86,Saturday,June,True,cash
2023-03-24,MRI_2367,MRI Scanner,Radiology,12,0.7,0.06,3,6191.12,0,44536.51,Friday,March,False,cash
2023-07-03,MRI_2368,MRI Scanner,Radiology,12,3.4,0.28,3,5037.29,0,17780.98,Monday,July,False,cash
2023-04-08,XRAY_2369,X-Ray Machine,Radiology,14,8.7,0.62,20,1365.06,0,43489.48,Saturday,April,True,cash
2023-07-05,MRI_2370,MRI Scanner,Radiology,8,1.9,0.24,3,6893.1,0,42062.55,Wednesday,July,False,insurance
2023-02-05,XRAY_2371,X-Ray Machine,Radiology,19,18.9,0.99,18,4954.71,0,47531.22,Sunday,February,True,insurance
2023-03-06,XRAY_2372,X-Ray Machine,Radiology,11,7.0,0.64,13,3752.89,0,4410.96,Monday,March,False,insurance
2023-05-02,MAMMO_2373,Mammography Unit,Women's Health,14,6.3,0.45,30,6730.6,0,26357.77,Tuesday,May,False,insurance
2023-04-09,MAMMO_2374,Mammography Unit,Women's Health,16,4.6,0.29,28,1387.63,0,2691.3,Sunday,April,True,cash
2023-09-18,CT_2375,CT Scanner,Radiology,8,5.3,0.66,15,1670.2,0,13948.27,Monday,September,False,insurance
2023-09-26,US_2376,Ultrasound,Radiology,11,8.0,0.73,27,2611.56,0,43066.96,Tuesday,September,False,insurance
2023-12-09,XRAY_2377,X-Ray Machine,Radiology,19,10.9,0.57,26,4549.17,0,14128.8,Saturday,December,True,insurance
2023-05-12,MAMMO_2378,Mammography Unit,Women's Health,10,5.0,0.5,13,5905.75,0,8472.02,Friday,May,False,cash
2023-11-18,MRI_2379,MRI Scanner,Radiology,15,1.3,0.09,3,6681.52,0,42380.49,Saturday,November,True,insurance
2023-05-19,MRI_2380,MRI Scanner,Radiology,14,1.1,0.08,1,1406.78,0,23024.75,Friday,May,False,insurance
2023-02-16,MRI_2381,MRI Scanner,Radiology,10,2.9,0.29,2,5794.09,0,33954.59,Thursday,February,False,insurance
2023-06-04,MRI_2382,MRI Scanner,Radiology,9,1.6,0.18,4,3137.83,0,17134.77,Sunday,June,True,insurance
2023-04-22,MAMMO_2383,Mammography Unit,Women's Health,9,3.2,0.36,27,827.02,0,10248.2,Saturday,April,True,insurance
2023-10-08,MAMMO_2384,Mammography Unit,Women's Health,19,18.4,0.97,21,3967.5,0,49497.05,Sunday,October,True,cash
2023-05-04,MRI_2385,MRI Scanner,Radiology,9,2.3,0.26,4,916.75,0,6663.08,Thursday,May,False,cash
2023-06-17,CT_2386,CT Scanner,Radiology,14,3.3,0.24,11,5222.41,0,27073.4,Saturday,June,True,insurance
2023-09-29,XRAY_2387,X-Ray Machine,Radiology,17,8.7,0.51,15,2289.2,0,2154.24,Friday,September,False,insurance
2023-11-03,MRI_2388,MRI Scanner,Radiology,16,2.2,0.14,1,550.75,0,36761.15,Friday,November,False,insurance
2023-07-07,MAMMO_2389,Mammography Unit,Women's Health,8,4.4,0.55,7,4552.25,0,4394.14,Friday,July,False,insurance
2023-02-12,US_2390,Ultrasound,Radiology,8,6.4,0.8,37,4882.0,0,27095.19,Sunday,February,True,insurance
2023-05-27,MRI_2391,MRI Scanner,Radiology,8,3.4,0.42,3,1247.66,0,27717.72,Saturday,May,True,insurance
2023-12-14,US_2392,Ultrasound,Radiology,12,10.8,0.9,36,5748.35,0,41711.46,Thursday,December,False,insurance
2023-01-14,MAMMO_2393,Mammography Unit,Women's Health,12,10.5,0.88,21,1643.24,0,40750.52,Saturday,January,True,cash
2023-06-24,MAMMO_2394,Mammography Unit,Women's Health,14,8.3,0.59,11,3658.57,0,5660.36,Saturday,June,True,insurance
2023-08-30,MRI_2395,MRI Scanner,Radiology,10,0.9,0.09,4,4641.1,0,23378.36,Wednesday,August,False,cash
2023-06-01,MAMMO_2396,Mammography Unit,Women's Health,15,12.4,0.83,21,5606.33,0,28176.77,Thursday,June,False,insurance
2023-10-26,XRAY_2397,X-Ray Machine,Radiology,9,7.5,0.83,12,5675.8,0,48898.28,Thursday,October,False,insurance
2023-11-20,CT_2398,CT Scanner,Radiology,17,3.2,0.19,23,7406.76,0,47663.55,Monday,November,False,insurance
2023-02-26,MRI_2399,MRI Scanner,Radiology,13,0.5,0.04,3,6898.77,0,42586.51,Sunday,February,True,cash
2023-04-30,MRI_2400,MRI Scanner,Radiology,9,2.2,0.24,2,6620.07,0,29967.0,Sunday,April,True,insurance
2023-03-12,MAMMO_2401,Mammography Unit,Women's Health,13,11.2,0.86,27,2367.06,0,23895.54,Sunday,March,True,insurance
2023-03-19,MAMMO_2402,Mammography Unit,Women's Health,14,3.8,0.27,29,6609.36,0,37657.34,Sunday,March,True,insurance
2023-04-07,XRAY_2403,X-Ray Machine,Radiology,12,6.9,0.58,18,1778.06,0,37623.65,Friday,April,False,insurance
2023-01-13,US_2404,Ultrasound,Radiology,12,9.4,0.78,22,3575.15,0,26833.02,Friday,January,False,insurance
2023-09-01,MAMMO_2405,Mammography Unit,Women's Health,17,5.1,0.3,22,2155.93,0,17957.43,Friday,September,False,cash
2023-04-11,XRAY_2406,X-Ray Machine,Radiology,18,3.4,0.19,6,6162.34,0,20023.25,Tuesday,April,False,insurance
2023-03-27,MAMMO_2407,Mammography Unit,Women's Health,16,15.1,0.94,18,1610.65,0,3520.58,Monday,March,False,insurance
2023-06-18,XRAY_2408,X-Ray Machine,Radiology,16,13.5,0.84,23,862.66,0,32045.87,Sunday,June,True,insurance
2023-01-25,MAMMO_2409,Mammography Unit,Women's Health,15,5.3,0.35,7,3863.9,0,37571.42,Wednesday,January,False,cash
2023-03-30,XRAY_2410,X-Ray Machine,Radiology,10,7.8,0.78,27,2842.18,0,45142.05,Thursday,March,False,cash
2023-02-19,MAMMO_2411,Mammography Unit,Women's Health,15,14.0,0.93,12,858.47,0,41418.36,Sunday,February,True,insurance
2023-04-17,CT_2412,CT Scanner,Radiology,19,4.1,0.22,15,2794.49,0,37307.42,Monday,April,False,insurance
2023-11-13,US_2413,Ultrasound,Radiology,9,6.6,0.73,22,5992.45,0,36140.42,Monday,November,False,cash
2023-02-28,MRI_2414,MRI Scanner,Radiology,9,2.6,0.29,1,4588.85,0,47853.14,Tuesday,February,False,insurance
2023-01-01,US_2415,Ultrasound,Radiology,10,8.0,0.8,40,5743.86,0,35157.17,Sunday,January,True,cash
2023-02-02,CT_2416,CT Scanner,Radiology,16,13.5,0.84,7,5648.12,0,3313.22,Thursday,February,False,insurance
2023-07-15,CT_2417,CT Scanner,Radiology,9,5.9,0.66,19,4468.23,0,22972.04,Saturday,July,True,insurance
2023-04-15,MRI_2418,MRI Scanner,Radiology,10,3.9,0.39,2,6218.05,0,4661.93,Saturday,April,True,insurance
2023-04-26,US_2419,Ultrasound,Radiology,8,7.7,0.96,34,4254.39,0,40443.52,Wednesday,April,False,insurance
2023-04-15,US_2420,Ultrasound,Radiology,12,8.7,0.72,24,1300.99,0,5866.89,Saturday,April,True,insurance
2023-03-10,XRAY_2421,X-Ray Machine,Radiology,12,11.2,0.93,29,815.33,0,48044.9,Friday,March,False,insurance
2023-01-10,CT_2422,CT Scanner,Radiology,16,9.7,0.61,26,5658.37,0,41857.25,Tuesday,January,False,insurance
2023-02-14,MRI_2423,MRI Scanner,Radiology,8,1.1,0.14,1,5179.58,0,25688.63,Tuesday,February,False,insurance
2023-05-25,MRI_2424,MRI Scanner,Radiology,11,1.3,0.12,2,6202.2,0,28668.14,Thursday,May,False,insurance
2023-11-16,MAMMO_2425,Mammography Unit,Women's Health,15,12.2,0.81,20,2213.03,0,4997.55,Thursday,November,False,insurance
2023-07-17,XRAY_2426,X-Ray Machine,Radiology,10,3.8,0.38,20,4292.22,0,47246.82,Monday,July,False,cash
2023-12-15,MAMMO_2427,Mammography Unit,Women's Health,17,3.9,0.23,21,4506.0,0,36565.05,Friday,December,False,insurance
2023-02-17,MRI_2428,MRI Scanner,Radiology,9,2.2,0.24,5,5792.8,0,39304.28,Friday,February,False,insurance
2023-07-15,CT_2429,CT Scanner,Radiology,20,19.8,0.99,28,7361.06,0,39531.68,Saturday,July,True,insurance
2023-04-06,MRI_2430,MRI Scanner,Radiology,14,3.8,0.27,4,5192.51,0,3702.45,Thursday,April,False,cash
2023-03-27,US_2431,Ultrasound,Radiology,9,8.6,0.96,23,4872.55,0,23641.51,Monday,March,False,cash
2023-06-04,MRI_2432,MRI Scanner,Radiology,9,0.7,0.08,2,2409.07,0,4133.42,Sunday,June,True,cash
2023-04-25,XRAY_2433,X-Ray Machine,Radiology,18,10.6,0.59,30,2599.32,0,12304.29,Tuesday,April,False,cash
2023-05-30,XRAY_2434,X-Ray Machine,Radiology,15,8.8,0.59,11,5238.82,0,49419.4,Tuesday,May,False,cash
2023-03-02,CT_2435,CT Scanner,Radiology,16,5.4,0.34,9,6581.35,0,25545.12,Thursday,March,False,cash
2023-06-04,MAMMO_2436,Mammography Unit,Women's Health,10,6.1,0.61,7,3185.13,0,33468.84,Sunday,June,True,insurance
2023-06-24,XRAY_2437,X-Ray Machine,Radiology,13,5.9,0.45,12,828.95,0,32640.32,Saturday,June,True,insurance
2023-02-27,MRI_2438,MRI Scanner,Radiology,13,1.8,0.14,1,876.55,0,14624.85,Monday,February,False,insurance
2023-03-29,MAMMO_2439,Mammography Unit,Women's Health,11,8.9,0.81,6,3757.37,0,35718.22,Wednesday,March,False,insurance
2023-07-18,XRAY_2440,X-Ray Machine,Radiology,9,7.0,0.78,25,538.12,0,3995.28,Tuesday,July,False,insurance
2023-05-18,XRAY_2441,X-Ray Machine,Radiology,14,8.7,0.62,8,3247.86,0,35426.87,Thursday,May,False,cash
2023-08-03,CT_2442,CT Scanner,Radiology,17,3.9,0.23,27,3906.99,0,45262.83,Thursday,August,False,insurance
2023-05-18,US_2443,Ultrasound,Radiology,10,7.6,0.76,39,6592.48,0,17351.16,Thursday,May,False,insurance
2023-09-03,XRAY_2444,X-Ray Machine,Radiology,20,5.0,0.25,7,1976.93,0,12424.4,Sunday,September,True,insurance
2023-12-09,US_2445,Ultrasound,Radiology,10,9.4,0.94,31,4165.91,0,4790.07,Saturday,December,True,cash
2023-05-20,MRI_2446,MRI Scanner,Radiology,11,0.6,0.05,3,3475.87,0,18964.7,Saturday,May,True,insurance
2023-02-09,XRAY_2447,X-Ray Machine,Radiology,15,8.3,0.55,24,3536.07,0,9701.89,Thursday,February,False,insurance
2023-10-07,MRI_2448,MRI Scanner,Radiology,12,2.8,0.23,2,2096.57,0,13450.24,Saturday,October,True,cash
2023-01-22,US_2449,Ultrasound,Radiology,8,7.0,0.88,29,5858.34,0,11952.02,Sunday,January,True,insurance
2023-06-05,XRAY_2450,X-Ray Machine,Radiology,17,3.1,0.18,12,6339.19,0,2402.99,Monday,June,False,insurance
2023-08-21,US_2451,Ultrasound,Radiology,9,8.0,0.89,28,4063.41,0,9155.99,Monday,August,False,insurance
2023-09-12,XRAY_2452,X-Ray Machine,Radiology,9,3.3,0.37,20,6789.48,0,37019.44,Tuesday,September,False,cash
2023-07-31,XRAY_2453,X-Ray Machine,Radiology,10,9.2,0.92,16,5276.92,0,37250.54,Monday,July,False,cash
2023-05-23,MRI_2454,MRI Scanner,Radiology,16,2.5,0.16,5,4143.67,0,37555.55,Tuesday,May,False,insurance
2023-12-09,XRAY_2455,X-Ray Machine,Radiology,11,4.5,0.41,18,3765.9,0,11658.96,Saturday,December,True,insurance
2023-12-07,MRI_2456,MRI Scanner,Radiology,8,2.6,0.33,1,5470.03,0,13075.57,Thursday,December,False,insurance
2023-09-22,MAMMO_2457,Mammography Unit,Women's Health,17,3.9,0.23,22,5507.16,0,6107.93,Friday,September,False,insurance
2023-12-28,XRAY_2458,X-Ray Machine,Radiology,15,4.9,0.33,7,3533.26,0,24293.27,Thursday,December,False,insurance
2023-08-24,US_2459,Ultrasound,Radiology,11,6.2,0.56,37,3402.48,0,49325.73,Thursday,August,False,insurance
2023-06-12,US_2460,Ultrasound,Radiology,9,9.0,1.0,39,6990.03,0,34255.39,Monday,June,False,insurance
2023-06-23,CT_2461,CT Scanner,Radiology,11,6.4,0.58,26,1384.55,0,12319.62,Friday,June,False,cash
2023-03-01,XRAY_2462,X-Ray Machine,Radiology,14,13.2,0.94,22,6144.41,0,31596.43,Wednesday,March,False,insurance
2023-11-16,XRAY_2463,X-Ray Machine,Radiology,18,12.4,0.69,27,4389.88,0,21836.34,Thursday,November,False,insurance
2023-02-13,MRI_2464,MRI Scanner,Radiology,15,2.7,0.18,5,6618.27,0,35144.35,Monday,February,False,cash
2023-01-22,US_2465,Ultrasound,Radiology,8,6.4,0.8,18,7314.59,0,39092.63,Sunday,January,True,cash
2023-07-13,MRI_2466,MRI Scanner,Radiology,14,3.5,0.25,5,4143.97,0,27105.36,Thursday,July,False,insurance
2023-06-05,MRI_2467,MRI Scanner,Radiology,9,2.7,0.3,5,1371.69,0,15165.88,Monday,June,False,insurance
2023-01-09,US_2468,Ultrasound,Radiology,11,7.5,0.68,21,6668.68,0,13771.8,Monday,January,False,insurance
2023-04-06,MAMMO_2469,Mammography Unit,Women's Health,15,12.7,0.85,29,4399.05,0,45816.08,Thursday,April,False,insurance
2023-10-13,US_2470,Ultrasound,Radiology,12,7.5,0.62,22,6389.99,0,11317.09,Friday,October,False,insurance
2023-09-06,CT_2471,CT Scanner,Radiology,14,12.2,0.87,9,5345.55,0,11364.28,Wednesday,September,False,cash
2023-02-13,US_2472,Ultrasound,Radiology,11,10.8,0.98,21,5676.25,0,13160.56,Monday,February,False,cash
2023-01-01,MAMMO_2473,Mammography Unit,Women's Health,18,6.3,0.35,8,6038.63,0,19665.67,Sunday,January,True,insurance
2023-09-28,CT_2474,CT Scanner,Radiology,14,8.3,0.59,30,5423.83,0,6466.05,Thursday,September,False,insurance
2023-07-19,CT_2475,CT Scanner,Radiology,11,7.7,0.7,12,1216.53,0,31158.58,Wednesday,July,False,insurance
2023-02-18,US_2476,Ultrasound,Radiology,11,6.5,0.59,19,6573.75,0,36419.12,Saturday,February,True,insurance
2023-01-27,CT_2477,CT Scanner,Radiology,11,7.2,0.65,19,2913.11,0,42084.94,Friday,January,False,cash
2023-05-16,MRI_2478,MRI Scanner,Radiology,11,3.6,0.33,5,1013.85,0,9546.74,Tuesday,May,False,insurance
